companyName	companyMajor	companyWorkAuth	companyPositionType	companyDetailLink	companyDetailLink-href	companyDetailDescription	companyDetailIndustry	companyDetailAddress	companyDetailWebsite	companyDetailWebsite-href	topCareerFair	topCareerFair-href	showAllLink	showAllLink-href
Tyco International	"Chemical Engineering, Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Full Time, Internship/Externship"	Tyco International	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=21eb728dc0f3d1cd1b83cedb554772fd&cf=66c37159db03674857166f04f8c21c60&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Tyco International Ltd. (NYSE: TYC) is a diversified, global company that provides vital products and services to customers around the world. Tyco is a leading provider of security products and services, fire protection and detection products and services, valves and controls, and other industrial products. Tyco had 2010 revenue of more than $17 billion and has more than 100,000 employees worldwide. More information on Tyco can be found at www.tyco.com."	Manufacturing	null	null		2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Gibbs Die Casting Corporation	"Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Full Time, Internship/Externship"	Gibbs Die Casting Corporation	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=4785560b7d6d20d3a62d89423de35eca&cf=60672caa2fe2f1bab970d1dca8d3d737&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Gibbs Die Casting is owned by Koch Enterprises, Inc. and is one of the largest privately held companies in Indiana.  Gibbs has grown into one of the world's largest die castings companies. With manufacturing facilities on four continents, Gibbs operates 7 factories for aluminum and magnesium casting, machining, assembly and die building, with over 1,200,000 square feet of total floor space.  Our corporate offices and main US manufacturing facility are located in Henderson Kentucky, by the Ohio River just thirty minutes from the regional airport in Evansville, IN. For casting needs in South America, we have established a facility in Brazil; Western Europe is supplied by our facility in Hungary, while Asia is supplied by our China facility."	"Engineering - Electrical, Engineering - Mechanical"	null	null		2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
kCura	Software Engineering	US Citizen	"Full Time, Internship/Externship"	kCura	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=882a54f81d3bc95fff9254db6567a84e&cf=6d0ccbecc555af1c5879238da10370bc&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Founded in 2001, kCura are the developers of Relativity, web-based software for the processing, review, analysis, and production of electronic documents during litigation and investigations. Located in downtown Chicago, with offices in Portland, London, and beyond, we focus on providing the best software we can, striving to always improve our products and the experience of our customer base, which includes the U.S. Department of Justice and all of the top 100 law firms in the United States. Our team of driven, passionate, and talented individuals works collaboratively to provide a positive client experience and build a reputable name in a booming industry."	"Computer Science/Software Engineering, Engineering - Computer"	null	Website	http://kcura.com/join-the-team/our-culture	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Gerdau Steel				Gerdau Steel	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=b7e0285d5a2ae8faf645451fafebe4ee&cf=8d23c3107d22ba54581df14d6208e7ed&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Gerdau Long Steel North America is a leader in mini-mill steel production and steel recycling in North America, with an annual manufacturing capacity of approximately 10 million metric tons of mill finished steel products. Through a vertically integrated network of mini-mills, scrap recycling facilities and downstream operations, the company serves customers throughout the U.S. and Canada, offering a diverse and balanced product mix of merchant steel, rebar, structural shapes, fabricated steel, flat rolled steel and wire rod. 

We see customer satisfaction, the personal and professional growth of each employee, total safety in the workplace, a commitment to our stakeholders, employees, and communities, and profit as a measure of performance."	null	null	Website	http://www.gerdau.com/northamerica/en#	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
HNTB Corporation	Civil Engineering	US Citizen	Full Time	HNTB Corporation	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=32a0036b3c9f2fa5ae9cf726e7b8303f&cf=f0e0e54b4c215b34fdacd58061a7a9b3&cfc=694510576a0197dcc2118cd41162bae0&sss=	"HNTB Corporation is an employee-owned infrastructure solutions firm serving public and private owners and construction contractors. With over 100 years in business, HNTB understands the life cycle of infrastructure and addresses clients' most complex technical, financial and operational challenges. Professionals nationwide deliver a full range of infrastructure-related services, including award-winning planning, design, program delivery and construction management."	Engineering - Civil	null	Website	http://www.hntb.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"North American Lighting, Inc. (NAL)"	"All Majors, Mechanical Engineering, Optical Engineering"	"US Citizen, Permanent Resident"	Full Time	"North American Lighting, Inc. (NAL)"	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=389827ef8200fe4c50f8b77a3551c47c&cf=6292d4ae24ac103638170b31820b2b8d&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Who We Are

North American Lighting, Inc., is the largest non-affiliated lighting supplier in North America. NAL has been manufacturing lighting products for the majority of vehicle manufacturers in North America since 1983. Our company began as a joint venture and is now a wholly-owned subsidiary of Koito Manufacturing Co., Ltd., of Japan.



Our Mission



Our mission is to provide the highest customer satisfaction and value by providing best-in-class lighting products through the integration of people, technology and business systems.



Corporate Headquarters 

Paris, Illinois



NAL moved into new corporate offices in October 2005. We are proud to announce that through various expansion activities, we continue to add manufacturing space and the required in-house support capabilities"	Manufacturing	null	Website	http://www.nal.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
The HallStar Company	"Chemical Engineering, Chemistry, International Studies"		"Full Time, Internship/Externship"	The HallStar Company	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=06c966c6db0bc4ddd16744cf0ba56275&cf=76158031bbb60950b17f12ad2f3e06b7&cfc=694510576a0197dcc2118cd41162bae0&sss=	"The HallStar Company, based in Chicago, is a privately held corporation whose group companies focus on providing the ""right chemistry"" and innovative solutions for their customers and whose global network of distributors, representatives, and facilities span six continents. HallStar Innovations Corp., the group's research and development affiliate, has developed more than one hundred patents."	null	null	null		2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
LHP Engineering Solutions	"Electrical Engineering, Mechanical Engineering, Software Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Full Time, Part Time, Co-op, Internship/Externship"	LHP Engineering Solutions	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=c690da056755e169629d2224fc0679d1&cf=9ed17b3ad924634fb6e27354578e823c&cfc=694510576a0197dcc2118cd41162bae0&sss=	"LHP Engineering Solutions manages engineering complexities by assessing an organization’s goals and integrating embedded electronic controls systems, platform products, and expert engineering processes that streamline operations. With an engineering toolkit of expert resources from LHP, companies can focus on creating what’s next for their market. 

We recruit top-tier engineering talent and train our employees to be exact in their systems and industry knowledge and creative in their solution development."	"Engineering - Electrical, Engineering - Mechanical"	null	Website	http://www.lhpsoftware.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
AK Steel Corporation		"US Citizen, Permanent Resident"	"Full Time, Co-op, Internship/Externship"	AK Steel Corporation	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=d1efa4cdfa5c0d65e9b2a365b1757bad&cf=93d31541ce75234a8eef641af1b0552c&cfc=694510576a0197dcc2118cd41162bae0&sss=	"AK Steel employs about 8,000 men and women in Middletown, Mansfield, Coshocton and Zanesville, Ohio; Butler, Pennsylvania; Ashland, Kentucky; Rockport, Indiana; Dearborn, Michigan and its corporate headquarters. AK Tube LLC, a wholly-owned subsidiary of AK Steel, employs about 300 at plants in Walbridge, Ohio and Columbus, Indiana. AK Tube produces carbon and stainless electric resistance welded tubularsteel products for truck, automotive and other markets. AK Coal Resources, Inc., another wholly-owned subsidiary of AK Steel, controls and is developing metallurgical coal reserves in Somerset County, Pennsylvania. AK Steel also owns 49.9% of Magnetation LLC, a joint venture headquartered in Grand Rapids, Minnesota, which produces iron ore concentrate from previously mined ore reserves."	Manufacturing	null	Website	http://www.aksteel.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Marathon Petroleum Company LP	"Chemical Engineering, Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Full Time, Co-op, Internship/Externship"	Marathon Petroleum Company LP	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=f325014a2a63096d6bc12be031cf333c&cf=d7308e3dacbd26db42c913474b1c8e76&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Marathon Petroleum Corporation (NYSE: MPC)

 •Nation's fourth largest transportation fuels refiner and largest in the Midwest

 •More than 1.7 million barrels per calendar day of capacity

 •Seven-plant refinery system

 •Petroleum products marketer in the Midwest, Southeast, Northeast and Gulf Coast

 •Marketing network of more than 5,460 Marathon locations and approximately 2,750 Speedway

 •Owns/operates 81 light product and asphalt terminals

 •Owns, operates, leases or has ownership interest in 8,300 miles of pipeline

 •Company roots reach back to the early years of the oil industry"	Transportation	null	Website	http://www.joinmpc.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
LG&E KU	"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Full Time, Co-op"	LG&E KU	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=f928ee8abbbea0fb94e8bae0615e007a&cf=e18613d00a0e2430094bb26cccf4e423&cfc=694510576a0197dcc2118cd41162bae0&sss=	"LG&E and KU  is an innovative, low-cost energy provider headquartered in Louisville, Ky. Operating in KY, VA & TN as an industry innovator, our mission is to provide exceptional value and service to our customers.

LG&E and KU's Co-op/Intern Program is designed to expose students to industry professionals and provide meaningful and practical work experience.  Students are provided opportunities to enhance their educational and technical knowledge and to develop competencies that prepare them for their future career.

Benefits of our co-op and intern program include: 

practical hands-on experience

reimbursement for co-op or internship course fees

housing stipend for qualifying students

networking and professional development events 

opportunities for full-time careers upon graduation"	Energy/Utilities	null	Website	http://lge-ku.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Rincon Research Corporation	"Computer Engineering, Computer Science, Electrical and Computer Engineering, Electrical Engineering, Engineering Physics, Math, Physics, Software Engineering"	US Citizen	"Full Time, Internship/Externship"	Rincon Research Corporation	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=0643ae2d00bfcd8b8e988f20a900f5bb&cf=e3c3aff1bfc74798360523677664d13f&cfc=694510576a0197dcc2118cd41162bae0&sss=	"At Rincon Research Corporation, our core business is to design, build, test, and field digital signal processing (DSP) products and services for the United States Defense and Intelligence communities. We use our superior expertise to serve our customers with a range of technologies:



•   Signals collection, analysis, and processing 

•   GPS Applications 

•   DSP systems development 

•   DSP infrastructure development 

•   Orbit analysis 

•   High-performance electronics development and production 



We deploy our pioneering technologies for the U.S. Government worldwide to help ensure our national security, combat terrorist threats, and safeguard vital national resources."	"Computer Science/Software Engineering, Defense, Engineering - Electrical"	null	Website	http://www.rincon.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"Butler, Fairman & Seufert, Inc."		US Citizen	"Full Time, Internship/Externship"	"Butler, Fairman & Seufert, Inc."	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=69d0a86bdff4313f49369e6a97c8c9e9&cf=439efb07da89197b293fee4c76b99859&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Butler, Fairman & Seufert, Inc., stands as a premier full-service civil engineering firm with over 150 employees including Professional Engineers, Land Surveyors, Landscape Architects, Architecture Historians and technical support staff. ?We are well known for our depth of technical expertise and responsive service. ?Clients appreciate our commitment to earning that reputation on every assignment."	Engineering - Civil	null	Website	http://www.bfsengr.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Appriss	"All Majors, Computer Engineering"		"Full Time, Co-op, Internship/Externship"	Appriss	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=bf816c801863a12849ba2d9cf65ab2df&cf=d4a35eb0a71d2bfe42012190ab035a0e&cfc=694510576a0197dcc2118cd41162bae0&sss=	"We combine cutting-edge technology with a community focused mission that enables us to create innovative tools that keep our communities safe and informed. Our products serve thousands across the U.S. on a daily basis through victim notification and pseudoephedrine tracking, as well as a variety of information sharing and data aggregation tools. We’ve recognized the power of technology to enhance and improve lives and we’re harnessing that power daily as we push ourselves to develop new tools to address problems. Our employees thrive in a in a environment, where creativity, continued learning and teamwork are valuable to the working environment. Administration is committed to creating a flexible, performance-based work environment that enables the creativity and productivity of employees."	Computer Science/Software Engineering	null	Website	http://appriss.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Vision Solutions		"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Full Time, Internship/Externship"	Vision Solutions	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=95b946eed4c177ecf71b8de34bd5d98f&cf=7b0369a5decd28ec382ea055ad3ee530&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Vision Solutions® is the premier provider of cloud protection and recovery, high availability, disaster recovery, migration and cross-platform data sharing solutions for Windows, Linux, AIX, IBM Power Systems and cloud computing. Our Double-Take®, iTERA™ and MIMIX® solutions make it easy for organizations to adopt cloud-based disaster recovery strategies, perform near-zero downtime migrations without risk, share data in real-time across platforms and move, protect and restore data, applications and operating systems of any kind on any combination of physical, virtual or cloud servers. And, not only do our products eliminate downtime, they continue to evolve alongside the most cutting-edge technology on the market."	Computer Science/Software Engineering	null	Website	http://www.visionsolutions.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"X by 2, LLC"	"Computer Science, Software Engineering"	US Citizen	"Full Time, Internship/Externship"	"X by 2, LLC"	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=aa26b9473a3899640a66cfb937a14453&cf=e1f2816fa620fb8848bd788785666473&cfc=694510576a0197dcc2118cd41162bae0&sss=	"X by 2 is a software consulting firm that serves the insurance and healthcare industries. We exist to transform businesses through large-scale enterprise technology initiatives. Our people are deeply technical with a penchant for hands on problem solving. From day one, you’ll be working side-by-side with our senior architects, contributing to all phases of the SDLC on high-impact engagements, and meeting with our clients face to face. No one is a passenger at X by 2; everyone drives.  Careers at X by 2 offer accelerated growth and project ownership opportunities in an environment that promotes constant learning and the challenging of assumptions in search for stronger, more effective solutions. Are you ready to join the equation?"	"Computer Science/Software Engineering, Consulting, Engineering - Computer"	null	Website	http://www.xby2.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
The Walsh Group	Civil Engineering	None	"Co-op, Internship/Externship"	The Walsh Group	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=d800f65c6abb31a3d4318e74c6ab8e80&cf=76a980c3bb4925ae9203a452ddcd4b92&cfc=694510576a0197dcc2118cd41162bae0&sss=	"The Walsh Group, founded in 1898, is a family owned and operated company. As one of the largest National Contractors, Walsh provides construction management, design-build and self-performed services through the operations of two subsidiaries: Walsh Construction and Archer Western Contractors. Major attributes to The Walsh Group’s success is our commitment to the highest standards for ethics, quality, and safety.  The Walsh Group regularly employs over 5,000 engineers, managers, and skilled trades’ workers and boasts one of the nation’s largest equipment fleets. Walsh strives to be the employer of choice for employees and the builder of choice for customers."	Construction	null	Website	http://www.walshgroup.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
F.A. Wilhelm Construction Company	"Civil Engineering, Electrical Engineering, Mechanical Engineering"	US Citizen	"Full Time, Internship/Externship"	F.A. Wilhelm Construction Company	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=64c22d968ca3d7bf93c73b71f316a6d7&cf=84eedc1ac3a5f119307c4ccfb6d90d12&cfc=694510576a0197dcc2118cd41162bae0&sss=	"A construction manager, general contractor, and design-builder, F.A. Wilhelm Construction Company has ninety years of experience specializing in institutional, manufacturing, industrial and energy projects. An Engineering News Record Top 400 Contractor, Wilhelm Construction is one of the Midwest's largest employers of construction labor with 1,300 employees/craft persons in the general trades working more than 3 million man-hours annually. Through our affiliates, we offer mechanical, electrical and HVAC capabilities as well."	Construction	null	Website	http://www.fawilhelm.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"Beckman Coulter, Inc. Life Sciences"	"Computer Engineering, Computer Science, Math, Software Engineering"	"US Citizen, Permanent Resident"	Internship/Externship	"Beckman Coulter, Inc. Life Sciences"	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=444c416c028d50e7a6909df7b48dd7fa&cf=a1c1fd8178704ba1feb1101fb260a7ad&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Beckman Coulter develops, manufactures, and markets products that simplify, automate, and innovate complex biomedical testing. Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs.



Our life science customers include pharmaceutical and biotechnology companies, universities, medical schools, and research institutions. More than 275,000 Beckman Coulter systems operate in both diagnostics and life sciences laboratories on six continents. For more than 75 years, our products have been making a difference in people's lives by improving the productivity of medical professionals and scientists, supplying critical information for improving patient health and reducing the cost of care."	"Biology, Chemistry, Computer Science/Software Engineering, Engineering - Biomedical, Engineering - Chemical, Engineering - Computer, Engineering - Electrical, Engineering - Mechanical, Manufacturing"	null	Facebook Page	https://www.facebook.com/BCILifeSciences	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Garmin International		US Citizen	"Full Time, Internship/Externship"	Garmin International	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=6ab346800ffa939540a9c6ce2c468790&cf=88af2c9c735dfcd26321271e313d3adf&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Garmin produces the world’s top-selling GPS navigation and wireless communication products for aviation, marine, automotive, fitness and outdoor recreation customers. 



To make the coolest products, we need the best and brightest on our team.  At Garmin, you’ll be surrounded by others who share the same passion about what they do every day. We offer a relaxed team environment where advancement is found from sharing knowledge, not hiding it. 



At Garmin, we like to laugh, have fun and work hard. We offer numerous opportunities to get involved and strongly encourage creativity and innovation. careers.garmin.com"	"Engineering - Computer, Engineering - Electrical, Engineering - Mechanical"	null	Website	http://www.garmin.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Thompson Thrift	Civil Engineering	US Citizen	Internship/Externship	Thompson Thrift	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=8476bb3c3225955b2e131ec5172ae01e&cf=7720dc3d2078b7d771d7523bc271fa8e&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Thompson Thrift Construction

Founded in 1986, Thompson Thrift Construction is a respected and nationally recognized, full-service construction company dedicated to serving individuals and businesses throughout the United States. A reputation for service, quality and trust has accompanied its success, along with a record of delivering superior projects on time and on budget. Although our current focus is in multifamily, Thompson Thrift’s depth of projects continues to include: retail, student housing, restaurants, senior living, healthcare, historic renovation, warehouses, commercial, professional/office and industrial. The company is privately owned and employs 185 people. It is headquartered in Terre Haute, IN with offices in Indianapolis, IN and Houston, TX."	Engineering - Civil	null	Website	http://www.thompsonthrift.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Bostik	"Chemical Engineering, Chemistry"	US Citizen	Internship/Externship	Bostik	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=cb091e4d5f146345904f2f52b293a02a&cf=59fa9a4063a15a90d079cf883587e2b7&cfc=694510576a0197dcc2118cd41162bae0&sss=	"As one of the largest adhesive and sealant companies in the world, Bostik designs, manufactures, and markets bonding solutions within a variety of Business Units: Industrial Adhesives (Converting, Assembly, Packaging, Transportation, Flexible Packaging and Industrial Laminations); Consumer and Construction (Flooring Installation Systems, Construction Sealants and Adhesives); and Global Nonwovens (Disposable Hygiene). Bostik is well positioned as part of Arkema's High Performance Materials segment.  A global chemical company and France’s leading chemicals producer, Arkema is building the future of the chemical industry every day."	Manufacturing	null	Website	http://www.bostik-us.com/index.asp?fa=home	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Ingredion Incorporated	"Chemical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Full Time, Co-op, Internship/Externship"	Ingredion Incorporated	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=8588a7d785a7c571faf041f75d064d71&cf=3dc6a525da3a9447db31eee10c879c28&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Specializing in nature-based sweeteners, starches and nutrition ingredients, Ingredion is a leading global ingredients solutions provider. For over 100 years, we have made ingredients found in products that people around the world use every day - from soft drinks, salad dressings, and beer to health foods, paperboard, cosmetics, agri-products, and pet food."	"Engineering - Chemical, Manufacturing"	null	Website	http://www.ingredion.com/careers	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Jacobs	"Electrical and Computer Engineering, Electrical Engineering, Mechanical Engineering"	US Citizen	Full Time	Jacobs	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=cf74dc41f0e42949d3853abda9cbf7d5&cf=beb984b9691891868099822a1d38dbfb&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Provie technical and management leadership in the design, construction, and commissioning of test systems and facilities and works with the Operations Segment to ensure the TG Vision to be the premier full service company for advanced systems and technical facilities.



We work within the aeropropulsion, automotive, space, manufacturing, and other advanced facility markets . We support our clients around the world with our technical expertise and ISO 9001 certified delivery process."	Engineering - Mechanical	null	Website	http://www.jacobs.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
